NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
27233|5|Antioquia|5360|Itagüí|3250|Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario)|Químicos y Ciencias de la Vida|Bienes tecnología baja|30459409890,0|26081509161,0|Mediana|No|No es sucursal de sociedad extranjera|28,23545516769336|No Mineras|Químicos y Ciencias de la Vida|Dotación Hospitalaria|Mobiliario hospitalario|9402909000|Los demás mobiliarios para medicina, cirugía, odontología o veterinaria; partes de estos artículos.|05|Antioquia|Si|691588,42|692962,954|-41,977629467937874|0,5345526103340825|Pymex|Químicos y Ciencias de la Vida
27258|11|Bogotá, D.C.|11001|Bogotá, D.C.|6201|Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|1481123334,0|5754830352,0|Mediana|No|No es sucursal de sociedad extranjera|12,919917864476384|No Mineras|Industrias 4.0|Audiovisuales y contenidos digitales|Audiovisuales y contenidos digitales|Audiovisuales y contenidos digitales|Audiovisuales y contenidos digitales|11|Bogotá, D.C.|No|0,0|60700,0||-100,0|No Constante|Industrias 4.0
27282|5|Antioquia|5001|Medellín|2591|Forja, prensado, estampado y laminado de metal; pulvimetalurgia|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|3156237000,0|7469429000,0|Pequeña|No|No es sucursal de sociedad extranjera|3,685147159479808|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Manufacturas de hierro o acero|7321899000|Las demás estufas, calderas con hogar, barbacoas (parillas) braseros, hornillos de gas, calientaplatos y aparatos no eléctricos similares, de uso doméstico, de fundición, hierro o acero.|05|Antioquia|Si|72351,19|33222,232|-14,056328468340274||No Constante|Metalmecánica y Otras Industrias
27295|76|Valle del Cauca|76001|Santiago De Cali|2511|Fabricación de productos metálicos para uso estructural|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|34847837000,0|32880492000,0|Mediana|No|No es sucursal de sociedad extranjera|25,61806981519507|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Manufacturas de hierro o acero|7314500000|Chapas y tiras extendidas (desplegadas), de hierro o de acero.|76|Valle del Cauca|Si|96994,08|32880,686|436,2053581793998|40,39647304062826|No Constante|Metalmecánica y Otras Industrias
27296|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106110000|Primates, vivos.|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
27300|5|Antioquia|5001|Medellín|4773|Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|1513818806,0|3161567850,0|Pequeña|No|No es sucursal de sociedad extranjera|12,24914442162902|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Medición|9023001000|Modelos de anatomía humana o animal|11|Bogotá, D.C.|Si|480618,59|286942,622|-17,54454369635606|66,14673715875776|Pymex|Químicos y Ciencias de la Vida
27312|76|Valle del Cauca|76001|Santiago De Cali|1521|Fabricación de calzado de cuero y piel, con cualquier tipo de suela|Sistema Moda|Bienes tecnología baja|54738000,0|229099000,0|Micro|No|No es sucursal de sociedad extranjera|1,45927446954141|No Mineras|Sistema Moda|Calzado|Calzado|6403590000|Los demás calzados con suela de cuero natural y parte superior (corte) de cuero natural.|76|Valle del Cauca|Si|122385,0|28683,8|481,84368165826754||No Constante|Sistema Moda
27320|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Derivados del café|Derivados de café|0901212000|Café tostado, sin descafeinar, molido.|68|Santander|No|0,0|0,0|||Futuros|Agroalimentos
27322|11|Bogotá, D.C.|11001|Bogotá, D.C.|4690|Comercio al por mayor no especializado|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|113996040,0|300638302,0|Micro|No|No es sucursal de sociedad extranjera|8,479123887748118|No Mineras|Agroalimentos|Café|Café verde|0901119000|Los demás cafés sin tostar, sin descafeinar.|11|Bogotá, D.C.|No|0,0|1044,2|-100,0||No Constante|Agroalimentos
27323|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Calzado|Calzado|6403999000|Los demás calzados con suela de caucho, plástico, cuero artificial o regenerado y parte superior (corte) de cuero natural.|68|Santander|Si|6285,22|4266,504|48,7590826252633|12,29189667011974|No Constante|Sistema Moda
27334|11|Bogotá, D.C.|11001|Bogotá, D.C.|1011|Procesamiento y conservación de carne y productos cárnicos|Agroalimentos|Bienes tecnología baja||-1,0|No determinado|No determinado|No determinado||No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de papel y cartón|4819500000|Los demás envases, incluidas las fundas  para  discos, de  papel, cartón, guata de celulosa o napas de fibras de celulosa.|11|Bogotá, D.C.|No|0,0|70,12||-100,0|Futuros|Agroalimentos
27338|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Muebles - hogar|9403200000|Los demás muebles de metal.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
27340|25|Cundinamarca|25899|Zipaquirá|4669|Comercio al por mayor de otros productos n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|100259267,0|411570492,0|Micro|No|No es sucursal de sociedad extranjera|3,0882956878850103|No Mineras|Agroalimentos|Cacao y sus derivados|Derivados del cacao|1806100000|Cacao en polvo con adición de azúcar u otro edulcorante.|25|Cundinamarca|Si|10882,0|2195,106|||No Constante|Agroalimentos
27343|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Automóviles de turismo y uso familiar|8703241090|Camperos (4 x 4), para el transporte de personas, con motor de émbolo (pistón) alternativo, de encendido por chispa, de cilindrada superior a 3.000 cm3.|11|Bogotá, D.C.|No|0,0|2000,0||-100,0|Futuros|Metalmecánica y Otras Industrias
27346|8|Atlántico|8001|Barranquilla|0149|Cría de otros animales n.c.p.|Agroalimentos|Bienes primarios|14175929183,0|2550894239,0|No determinado|No|No es sucursal de sociedad extranjera|21,623545516769337|No Mineras|Sistema Moda|Cuero y manufacturas de cuero|Cueros en bruto y preparados|4113300000|Cueros preparados después del curtido o secado y cueros y pieles apergaminados, de reptil, incluso divididos, excepto los de la partida 41.14.|08|Atlántico|Si|0,0|912214,064||-100,0|No Constante|Agroalimentos
27365|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Calzado|Calzado|6403999000|Los demás calzados con suela de caucho, plástico, cuero artificial o regenerado y parte superior (corte) de cuero natural.|68|Santander|Si|20780,0|74457,854|-44,29710071502364|-35,116043938930474|Pymex|Sistema Moda
27375|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
27377|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Cuero y manufacturas de cuero|Manufacturas de cuero|4202119000|Los demás maletines, incluidos los de aseo y porta documentos, carteras de mano (portafolios), cartapacios y continentes similares, con la superficie exterior de cuero natural, cuero  regenerado o de cuero charolado.|11|Bogotá, D.C.|Si|37414,0|59951,292|-27,62977953137893|-12,395602916477454|Pymex|Sistema Moda
27430|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106900000|Los demás animales, vivos|11|Bogotá, D.C.|No|0,0|20,0||-100,0|Futuros|Agroalimentos
27435|13|Bolívar|13001|Cartagena De Indias|4610|Comercio al por mayor a cambio de una retribución o por contrata|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|3229315827,0|6687842355,0|Pequeña|No|No es sucursal de sociedad extranjera|46,12183436002738|No Mineras|Agroalimentos|Frutas y hortalizas frescas y procesadas|Legumbres y hortalizas frescas|0711900000|Las demás hortalizas; mezclas de hortalizas, conservadas provisionalmente (por ejemplo: con gas sulfuroso o con agua salada, sulfurosa o adicionada de otras sustancias para asegurar dicha conservación), todavía impropias para la alimentación|76|Valle del Cauca|Si|1751512,98|1352504,276|58,02120662258676|-0,190400118959344|Pymex|Agroalimentos
27452|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Acabados para la construcción|8481801000|Canillas o grifos para uso doméstico.|13|Bolívar|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
27468|11|Bogotá, D.C.|11001|Bogotá, D.C.|3290|Otras industrias manufactureras n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología baja|4241379791,0|2809860619,0|Pequeña|No|No es sucursal de sociedad extranjera|31,18685831622177|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Medición|9032810000|Los demás instrumentos y aparatos hidráulicos o neumáticos.|11|Bogotá, D.C.|Si|12573,26|7937,738||5,710437195675344|Futuros|Metalmecánica y Otras Industrias
27481|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
27484|8|Atlántico|8001|Barranquilla|123|Cultivo de café|Agroalimentos|Bienes primarios|9978319912,0|13656852572,0|No determinado|No|No es sucursal de sociedad extranjera|4,334017796030117|No Mineras|Agroalimentos|Café|Café verde|0901119000|Los demás cafés sin tostar, sin descafeinar.|05|Antioquia|No|2631841,13|1910051,178|-8,101085689544751||Pymex|Agroalimentos
27494|11|Bogotá, D.C.|11001|Bogotá, D.C.|3240|Fabricación de juegos, juguetes y rompecabezas|Metalmecánica y Otras Industrias|Bienes tecnología baja|251445903,0|178126876,0|Micro|No|No es sucursal de sociedad extranjera|28,4517453798768|No Mineras|Metalmecánica y Otras Industrias|Material Promocional|Artículos promocionales|9503009990|Los demás juguetes|11|Bogotá, D.C.|Si|0,0|4996,344|-100,0|-100,0|No Constante|Metalmecánica y Otras Industrias
