NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
5851|5|Antioquia|5615|Rionegro|8610|Actividades de hospitales y clínicas, con internación|Industrias 4.0|Otros servicios intensivos en conocimiento|34034373196,000004|35746056529,0|Grande|No|No es sucursal de sociedad extranjera|19,134839151266256|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
5877|5|Antioquia|5001|Medellín|4643|Comercio al por mayor de calzado|Sistema Moda|Servicios menos intensivos en conocimiento|7602270000,0|16805399000,0|Mediana|No|No es sucursal de sociedad extranjera|16,476386036960985|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Sistema Moda
5880|25|Cundinamarca|25286|Funza|4641|Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico|Sistema Moda|Servicios menos intensivos en conocimiento|11871363000,0|13127024000,0|Pequeña|No|No es sucursal de sociedad extranjera|4,383299110198494|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Sistema Moda
5921|76|Valle del Cauca|76001|Santiago De Cali|4541|Comercio de motocicletas y de sus partes, piezas y accesorios|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|8654341000,0|19331729000,0|Mediana|No|No es sucursal de sociedad extranjera|8,380561259411362|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
6018|68|Santander|68276|Floridablanca|8621|Actividades de la práctica médica, sin internación|Industrias 4.0|Otros servicios intensivos en conocimiento|32572111818,0|25076935250,0|Grande|No|No es sucursal de sociedad extranjera|10,03422313483915|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Industrias 4.0
6068|76|Valle del Cauca|76520|Palmira|1090|Elaboración de alimentos preparados para animales|Agroalimentos|Bienes tecnología baja|510233993000,0|1689955736000,0|Grande|No|No es sucursal de sociedad extranjera|36,38603696098563|No Mineras|Agroalimentos|Agroindustrial|Alimentos para animales|2309109000|Los demás alimentos para perros o gatos, acondicionados para la venta al por menor.|76|Valle del Cauca|Si|1275242,66|789545,0|74,05835695390373|23,78937190344217|Pymex|Agroalimentos
6076|8|Atlántico|8001|Barranquilla|2399|Fabricación de otros productos minerales no metálicos n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|34283911000,0|28866702000,0|Mediana|No|No es sucursal de sociedad extranjera|50,84188911704312|Mineras|Mineras|Minerales|Minerales no metálicos|2520200000|Yesos fraguable ( consistente en yeso natural calcinado o en sulfato de calcio), incluso coloreado o con pequeñas cantidades de aceleradores o retardadores.|08|Atlántico|Si|49665,29|27359,614|6,535147169515065|24,3799561490524|Mineras, chatarra, otros|Metalmecánica y Otras Industrias
6085|13|Bolívar|13001|Cartagena De Indias|4111|Construcción de edificios residenciales|Metalmecánica y Otras Industrias|Servicios no clasificados|23755038000,0|12270039000,0|Mediana|No|No es sucursal de sociedad extranjera|35,175906913073234|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
6102|8|Atlántico|8758|Soledad|145|Cría de aves de corral|Agroalimentos|Bienes primarios|367593022000,0|436584091000,0|Grande|No|No es sucursal de sociedad extranjera|52,43805612594114|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Agroalimentos
6198|5|Antioquia|5360|Itagüí|4530|Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores|Metalmecánica y Otras Industrias|Servicios menos intensivos en conocimiento|18034682000,0|30663468000,0|Mediana|No|No es sucursal de sociedad extranjera|13,514031485284052|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No exportó ult. 10 años|No|||||Futuros|Metalmecánica y Otras Industrias
